"tld_name","tld_namehash","total_slds","active_slds","expired_slds"
wallet,"0x1e3f482b3363eb4710dae2cb2183128e272eafbe137f686851c1caea32502230",4720,2379,2341
hns,"0xfb667b5dbbd33e7c0717051928f3b5eb9f4c4de9e1f1c14c71774773504711ca",558,226,332
nb,"0x4563ca3bedbc9c0da25528b63f193982105b26c193703c89f366f53ab1890599",221,36,185
lands,"0x909d89a6c97ebacfd8cd079f595a16b79cbcc508843b14d3d3cb1c97cc31a5fc",133,133,0
mfers,"0x3435e492d3f50d8369d77b32373416ef6f34c50f0454c720b364a33611911a2d",84,19,65
xn--qei,"0x76d7696e5f1c1a57f8be29f6367f075ee954f9edab0bd4465015df26b575039c",81,2,79
d,"0xf74eb0c4f56e8d485674f1b0199276f3a9fef39ba856171c783bf87d9f1649f1",69,23,46
nigeria,"0x973deb3041683362f73dd0512d1a2dff171188942f5b3aeea3744c76d68ab170",63,9,54
dapp,"0xaeb80943d7970b602b395cbc8c7f1a6d98738aee6d23e7689d14efe266704067",61,4,57
hey,"0xba7f75997c08b2dc328961a566cfeb7189fb0d0deec9465b8e185e8061e848ff",52,17,35
nostr,"0x744b77150f688ac33ed9c0b172559f9c4ec7228d5c03da601862938298b7380d",37,14,23
musician,"0x53a683e2ee4d9970e2394c6a5c77884114eb0624fb52a5257300d5992444e330",26,3,23
milady,"0x9090c5fffd8f17cfb6fd0aeedb8a0e169e9a2b336e25361cd859e863a3d5334c",26,26,0
isokay,"0x51fd5b7854640e7aa91ebe46ffc2e6f9a7fd0a92affd67fea6a745b3bb409880",25,23,2
culer,"0x86f0862d3547ad8b0e4356e668802c5a9d6bd11cc61ecaea28aa5bcc3713821c",23,4,19
w3,"0xf2fb775bc5b8dea6354e80838a0747ea5c8db0f02bb294ec3e4b69f00fbb62d4",19,16,3
artist,"0x9633bf5b45f659fb596a0fdfaa6a29afee5b0d4333aa973fcff790a0ed942175",19,5,14
det0x,"0xeab9e720f8174bbed53d9e5c979274ff0eb695b7e5b70cd6d6119a63e38f31f9",19,19,0
switzerland,"0xee8d9584585feb8e79a9742647bdf849f3fbe70421d7d52febf247616d0e5f41",17,0,17
bro,"0xa023b18e20bf66556a83b4606a1c8894256405b5f25fb05bf7965f0b85466e34",15,2,13
vietnamese,"0xb3b754bdce9f792c4c4a00662246f65c2ebe5bbc0ba186595df1f4f90d5b9cf2",14,14,0
xn--4zg1316p,"0xcb4b3c7af7ef5e64ffb0bb12e458dd6bb8460a3e5d959fe04101fdf2428244b0",13,13,0
smartass,"0xa0c53c1cfbc8d6a7bfa07f94f2a5092c5e7063316c91fc946680d60fa4afff55",13,1,12
ok,"0xf5e198c51185651928c1870e2365d229d433285755dd9f1c7b3a864c98dcbe49",13,2,11
bx,"0x580f9c36c91d470aeaa6763576c81643cc4b9537b23182e1a7e22a3109e262f0",12,3,9
pakistan,"0xe80a42e70da8f6f6c4d248f39a2bd85e686a424e3509d5df9eff3656405cff30",12,0,12
hodl,"0xa2ac850ef102e75d355baa2ebba09f1c51d71e0f40a31b6eb8255abbc80a264a",11,3,8
collectable,"0x9dbbdd1b51eca6f68d5aab2b4310e73af3326ea489f2850744dbef78236db142",10,5,5
runemaster,"0x3cfb81e2e3611fb3ed29841e125cf2016148d49603872817074c06855cee44e4",10,7,3
bjk,"0xcb06e77803d6ce16a640291dfcbb8471964f1623ffb2cf1f347137348d9562b4",8,8,0
shog,"0x46180856018b7da4f7e47f5f85f536f9cca9e417904cd2e18a0f592e766d8cbf",8,2,6
intern,"0x71d19cd4c084f97d87195abb313a3e826f844b542acf57d81205dea5c4b7fdaf",7,2,5
cop,"0xe72f51a547ab29bb59caf55f875c85d385963bd2189909b285cf2493639d67c9",7,3,4
inweb3,"0xd60131170097b5d5f4f88983a4b886e68986eaeb383452e7732378b9b649ac0e",6,5,1
xn--bh8h,"0x029727bc599f53d5272268448507ea2497e3ee7aa5c3b3e1244f50821e8d174e",6,0,6
"3digitsclub","0x33c525bca19fdf9d20e12eaa63e969a7250c9606ce8524b559c88d11767c18e9",4,1,3
uswap,"0xb63582a7f94ce3576ab283e9ddf255d845833639ab2705ca2dcf41d0e2775b1a",4,3,1
voiceweb,"0x435ab16cc0b5b3b35276de5442ef660b3a4e7893f5baa37a05b25dcac6832fec",3,3,0
xn--6s9h,"0x0078aa13664722e394f52750673f4aaea809975a74bc7d1f6a2176571483607b",3,2,1
multi-pass,"0x1360b1f397b030938042af8c8a0a1b36a69ed1ff434ff02b849830643e0ebe6f",3,3,0
lazy,"0x2f20e93027434dbe35bc979056df538f5e2985b2a39395ba4369e8c743b782e3",3,0,3
sounds-good,"0x7a67d72a5743a63bf16135e30639555499527e0a56f9949fc37a96de33632d91",2,2,0
xbased,"0xa65aae28ca24d54e765452982926d5f2141f4b401c2d255b43e63a77fb586182",2,2,0
xn--7bi,"0xb1a92c416a686f0a895bb3a26a33047169852a1adde6a52b5c07dc994b5ee75f",2,2,0
xn--to8h,"0x5a5f95b00328eaeab44ef5705f1aff7590b46c70d447271da73f71d052afb882",2,1,1
xn--z38h,"0x118a0846c25bda90d39116f2944ff5621a7a050308446316ec30d98236031585",2,1,1
crashout,"0x6257fad9615b42a8a3b98125bc84b0ac316860fedb4090a5d995fdd1791ae45e",2,2,0
newyork-id,"0x6c0c6202aaacd60983e04f10f04a66ca0b6cf9f5fd0b49953d0165e613fc0a19",1,1,0
optimism,"0x73016fa05231a533e8bfb5a5fca6efd998a9f12a341239b2b604e77fde48bf43",1,1,0
hhm,"0x51f00b28137ec2ca8668477ca152a059dfeecff3cb004657ac370fabd98e224d",1,1,0
rccg,"0xa66190da9965ae62afd81d58a1b50fd6e54560a099d783341cbd83613303653d",1,1,0
pizzalover,"0x9943f16f51dd82af77684f31df541ba127b31e90e3452d5852c313ef653fd6f0",1,0,1
fofar,"0xe88999de6221a62f670ad703106930ae18e47bd677890694ed39617bc83b331a",1,1,0
bittensor,"0x93d4f055cbf38dca5fadae1a9abcf16a4f2d57b3a53d75db56d1dc0cc95bba31",1,0,1
lovely,"0xeefbe0533da5f73efc22c553eac4dfa8d0f14933f00ac7ad48b5ad2d8fc78950",1,1,0
uwuai,"0xf46229817a8e456f1eab0d2885f3d352f8cea7eed73c6eb8b8d1b8864372d5e8",1,1,0
nigga,"0xeaa9a9d1de460e1322625a9a93de956cfa7161e10dc13529f59a91a5b056a3c1",1,1,0
touchesgrass,"0xd5a2f477220bfa329ac6861027ba1aa493c074dd3f90e2f89fd3dd64e0c96fe6",0,0,0
priv,"0xe64dc9e35f29540d8d3fc070021be4493db83f0b22576987bb9c3ffea1df4614",0,0,0
web3,"0x587d09fe5fa45354680537d38145a28b772971e0f293af3ee0c536fc919710fb",0,0,0
camo,"0x9f76b593ab90c181e00c98e9b5f42fb6df868cea1b5349630d0066010c62ad34",0,0,0
fockit,"0x4419d63c5fa007b68d55a892479a3ae59e311cea0253c23bb57ab724c85eb2a1",0,0,0
clu,"0x8e45935015e5562445919af9ea2673171aca0e162618e7d52b51e7c46d29b6b0",0,0,0
